,0,1,2,3
377,1900-01-01 13:45:44,47.68,green,1
378,1900-01-01 13:46:00,47.69,red,1
379,1900-01-01 13:46:14,47.69,red,1
380,1900-01-01 13:46:16,47.68,green,1
381,1900-01-01 13:46:24,47.69,red,3
382,1900-01-01 13:46:48,47.69,red,1
383,1900-01-01 13:47:00,47.69,red,1
384,1900-01-01 13:47:23,47.69,red,1
385,1900-01-01 13:47:30,47.69,red,5
386,1900-01-01 13:48:00,47.69,red,4
387,1900-01-01 13:48:17,47.69,red,1
388,1900-01-01 13:48:22,47.68,green,6
389,1900-01-01 13:48:22,47.68,green,1
390,1900-01-01 13:48:23,47.68,green,4
391,1900-01-01 13:48:29,47.68,green,1
392,1900-01-01 13:49:00,47.69,red,1
393,1900-01-01 13:49:09,47.68,green,1
394,1900-01-01 13:49:12,47.69,red,1
395,1900-01-01 13:49:13,47.68,green,1
396,1900-01-01 13:49:27,47.69,red,2
397,1900-01-01 13:49:30,47.68,green,1
398,1900-01-01 13:49:34,47.69,red,1
399,1900-01-01 13:49:38,47.68,green,2
400,1900-01-01 13:49:40,47.69,red,1
401,1900-01-01 13:49:44,47.68,green,2
402,1900-01-01 13:49:46,47.68,green,2
403,1900-01-01 13:49:52,47.68,green,1
404,1900-01-01 13:50:00,47.68,green,13
405,1900-01-01 13:50:19,47.69,red,25
406,1900-01-01 13:50:26,47.68,green,1
407,1900-01-01 13:50:29,47.68,green,3
408,1900-01-01 13:50:32,47.67,green,2
409,1900-01-01 13:50:33,47.67,green,1
410,1900-01-01 13:50:33,47.67,green,2
411,1900-01-01 13:50:40,47.68,red,1
412,1900-01-01 13:50:44,47.68,red,1
413,1900-01-01 13:50:50,47.68,red,1
414,1900-01-01 13:50:54,47.67,green,1
415,1900-01-01 13:50:57,47.68,red,1
416,1900-01-01 13:50:59,47.68,red,1
417,1900-01-01 13:51:00,47.68,red,10
418,1900-01-01 13:51:11,47.68,red,12
419,1900-01-01 13:51:25,47.68,red,1
420,1900-01-01 13:51:27,47.68,red,6
421,1900-01-01 13:51:36,47.68,green,11
422,1900-01-01 13:51:39,47.68,red,10
423,1900-01-01 13:51:43,47.68,red,5
424,1900-01-01 13:52:00,47.68,red,1
425,1900-01-01 13:52:02,47.68,red,10
426,1900-01-01 13:52:02,47.67,green,31
427,1900-01-01 13:52:03,47.67,green,34
428,1900-01-01 13:52:05,47.68,red,1
429,1900-01-01 13:52:05,47.67,green,1
430,1900-01-01 13:52:13,47.67,green,2
431,1900-01-01 13:52:14,47.66,green,90
432,1900-01-01 13:52:15,47.67,red,6
433,1900-01-01 13:52:17,47.66,green,1
434,1900-01-01 13:52:17,47.67,red,21
435,1900-01-01 13:52:19,47.67,green,22
436,1900-01-01 13:52:21,47.67,red,1
437,1900-01-01 13:52:23,47.66,green,2
438,1900-01-01 13:52:24,47.66,green,1
439,1900-01-01 13:52:30,47.66,green,2
440,1900-01-01 13:52:31,47.66,green,1
441,1900-01-01 13:52:34,47.67,red,3
442,1900-01-01 13:52:50,47.66,green,1
443,1900-01-01 13:52:53,47.67,red,5
444,1900-01-01 13:52:54,47.66,green,1
445,1900-01-01 13:52:54,47.66,green,1
446,1900-01-01 13:52:58,47.66,green,1
447,1900-01-01 13:52:58,47.66,green,4
448,1900-01-01 13:53:00,47.66,green,1
449,1900-01-01 13:53:04,47.66,green,2
450,1900-01-01 13:53:05,47.66,green,6
451,1900-01-01 13:53:06,47.66,green,1
452,1900-01-01 13:53:07,47.66,green,1
453,1900-01-01 13:53:10,47.66,green,1
454,1900-01-01 13:53:11,47.67,red,3
455,1900-01-01 13:53:20,47.66,green,1
456,1900-01-01 13:53:36,47.67,red,1
457,1900-01-01 13:53:40,47.67,red,1
458,1900-01-01 13:53:43,47.67,red,21
459,1900-01-01 13:53:45,47.68,red,1
460,1900-01-01 13:53:52,47.68,red,1
461,1900-01-01 13:53:52,47.68,red,1
462,1900-01-01 13:54:00,47.68,red,1
463,1900-01-01 13:54:17,47.67,green,1
464,1900-01-01 13:54:41,47.67,green,1
465,1900-01-01 13:54:49,47.67,green,1
466,1900-01-01 13:54:50,47.67,green,1
467,1900-01-01 13:54:54,47.68,red,3
468,1900-01-01 13:55:00,47.68,red,1
469,1900-01-01 13:55:05,47.67,green,1
470,1900-01-01 13:55:06,47.67,green,1
471,1900-01-01 13:55:09,47.67,green,2
472,1900-01-01 13:55:12,47.68,red,1
473,1900-01-01 13:55:13,47.68,red,1
474,1900-01-01 13:55:22,47.67,green,2
475,1900-01-01 13:55:23,47.67,green,1
476,1900-01-01 13:55:25,47.67,green,18
477,1900-01-01 13:55:27,47.67,green,1
478,1900-01-01 13:55:30,47.67,green,5
479,1900-01-01 13:55:31,47.67,red,15
480,1900-01-01 13:55:32,47.67,green,1
481,1900-01-01 13:55:43,47.68,red,2
482,1900-01-01 13:55:47,47.68,red,2
483,1900-01-01 13:55:57,47.68,red,1
484,1900-01-01 13:55:58,47.68,red,1
485,1900-01-01 13:56:00,47.67,green,1
486,1900-01-01 13:56:04,47.67,green,2
487,1900-01-01 13:56:07,47.68,red,1
488,1900-01-01 13:56:09,47.68,red,5
489,1900-01-01 13:56:15,47.67,green,1
490,1900-01-01 13:56:16,47.67,green,3
491,1900-01-01 13:56:37,47.67,green,3
492,1900-01-01 13:56:41,47.67,green,1
493,1900-01-01 13:56:55,47.68,red,2
494,1900-01-01 13:57:00,47.68,red,1
495,1900-01-01 13:57:07,47.68,red,2
496,1900-01-01 13:57:11,47.67,green,1
497,1900-01-01 13:57:11,47.67,green,1
498,1900-01-01 13:57:12,47.67,green,6
499,1900-01-01 13:57:13,47.67,green,33
500,1900-01-01 13:57:15,47.66,green,1
501,1900-01-01 13:57:16,47.67,red,1
502,1900-01-01 13:57:21,47.67,red,3
503,1900-01-01 13:57:24,47.67,red,1
504,1900-01-01 13:57:24,47.66,green,1
505,1900-01-01 13:57:27,47.66,green,4
506,1900-01-01 13:57:28,47.66,green,36
507,1900-01-01 13:57:29,47.66,red,10
508,1900-01-01 13:57:30,47.66,red,2
509,1900-01-01 13:57:32,47.66,red,1
510,1900-01-01 13:57:33,47.65,green,1
511,1900-01-01 13:57:34,47.65,green,31
512,1900-01-01 13:57:35,47.65,green,1
513,1900-01-01 13:57:38,47.66,red,6
514,1900-01-01 13:57:43,47.65,green,1
515,1900-01-01 13:57:45,47.65,green,1
516,1900-01-01 13:57:49,47.65,green,2
517,1900-01-01 13:57:50,47.65,green,8
518,1900-01-01 13:57:52,47.66,red,1
519,1900-01-01 13:57:56,47.65,green,1
520,1900-01-01 13:57:59,47.66,red,19
521,1900-01-01 13:58:00,47.66,green,1
522,1900-01-01 13:58:04,47.66,green,9
523,1900-01-01 13:58:07,47.66,red,2
524,1900-01-01 13:58:09,47.67,red,1
525,1900-01-01 13:58:27,47.67,red,2
526,1900-01-01 13:58:33,47.67,red,26
527,1900-01-01 13:58:34,47.67,green,5
528,1900-01-01 13:58:38,47.67,green,1
529,1900-01-01 13:58:39,47.67,green,1
530,1900-01-01 13:58:44,47.67,red,1
531,1900-01-01 13:58:52,47.67,green,1
532,1900-01-01 13:58:52,47.67,green,1
533,1900-01-01 13:58:56,47.67,red,1
534,1900-01-01 13:58:56,47.67,red,1
535,1900-01-01 13:59:00,47.67,red,1
