,1m,3m,15m,time
498,,,,1900-01-01 13:05:18
499,,,,1900-01-01 13:05:19
500,,,,1900-01-01 13:05:20
501,,,,1900-01-01 13:05:21
502,,,,1900-01-01 13:05:22
503,,,,1900-01-01 13:05:23
504,,,,1900-01-01 13:05:24
505,,,,1900-01-01 13:05:25
506,,,,1900-01-01 13:05:26
507,,,,1900-01-01 13:05:27
508,,,,1900-01-01 13:05:28
509,,,,1900-01-01 13:05:29
510,,,,1900-01-01 13:05:30
511,,,,1900-01-01 13:05:31
512,,,,1900-01-01 13:05:32
513,,,,1900-01-01 13:05:33
514,,,,1900-01-01 13:05:34
515,,,,1900-01-01 13:05:35
516,,,,1900-01-01 13:05:36
517,,,,1900-01-01 13:05:37
518,,,,1900-01-01 13:05:38
519,,,,1900-01-01 13:05:39
520,,,,1900-01-01 13:05:40
521,,,,1900-01-01 13:05:41
522,,,,1900-01-01 13:05:42
523,,,,1900-01-01 13:05:43
524,,,,1900-01-01 13:05:44
525,,,,1900-01-01 13:05:45
526,,,,1900-01-01 13:05:46
527,,,,1900-01-01 13:05:47
528,,,,1900-01-01 13:05:48
529,,,,1900-01-01 13:05:49
530,,,,1900-01-01 13:05:50
531,,,,1900-01-01 13:05:51
532,,,,1900-01-01 13:05:52
533,,,,1900-01-01 13:05:53
534,,,,1900-01-01 13:05:54
535,,,,1900-01-01 13:05:55
536,,,,1900-01-01 13:05:56
537,,,,1900-01-01 13:05:57
538,,,,1900-01-01 13:05:58
539,,,,1900-01-01 13:05:59
540,,,,1900-01-01 13:06:00
541,,,,1900-01-01 13:06:01
542,,,,1900-01-01 13:06:02
543,,,,1900-01-01 13:06:03
544,,,,1900-01-01 13:06:04
545,,,,1900-01-01 13:06:05
546,,,,1900-01-01 13:06:06
547,,,,1900-01-01 13:06:07
548,,,,1900-01-01 13:06:08
549,,,,1900-01-01 13:06:09
550,,,,1900-01-01 13:06:10
551,,,,1900-01-01 13:06:11
552,,,,1900-01-01 13:06:12
553,,,,1900-01-01 13:06:13
554,,,,1900-01-01 13:06:14
555,,,,1900-01-01 13:06:15
556,,,,1900-01-01 13:06:16
557,,,,1900-01-01 13:06:17
558,,,,1900-01-01 13:06:18
559,,,,1900-01-01 13:06:19
560,,,,1900-01-01 13:06:20
561,,,,1900-01-01 13:06:21
562,,,,1900-01-01 13:06:22
563,,,,1900-01-01 13:06:23
564,,,,1900-01-01 13:06:24
565,,,,1900-01-01 13:06:25
566,,,,1900-01-01 13:06:26
567,,,,1900-01-01 13:06:27
568,,,,1900-01-01 13:06:28
569,,,,1900-01-01 13:06:29
570,,,,1900-01-01 13:06:30
571,,,,1900-01-01 13:06:31
572,,,,1900-01-01 13:06:32
573,,,,1900-01-01 13:06:33
574,,,,1900-01-01 13:06:34
575,,,,1900-01-01 13:06:35
576,,,,1900-01-01 13:06:36
577,,,,1900-01-01 13:06:37
578,,,,1900-01-01 13:06:38
579,,,,1900-01-01 13:06:39
580,,,,1900-01-01 13:06:40
581,,,,1900-01-01 13:06:41
582,,,,1900-01-01 13:06:42
583,,,,1900-01-01 13:06:43
584,,,,1900-01-01 13:06:44
585,,,,1900-01-01 13:06:45
586,,,,1900-01-01 13:06:46
587,,,,1900-01-01 13:06:47
588,,,,1900-01-01 13:06:48
589,,,,1900-01-01 13:06:49
590,,,,1900-01-01 13:06:50
591,,,,1900-01-01 13:06:51
592,,,,1900-01-01 13:06:52
593,,,,1900-01-01 13:06:53
594,,,,1900-01-01 13:06:54
595,,,,1900-01-01 13:06:55
596,,,,1900-01-01 13:06:56
597,,,,1900-01-01 13:06:57
598,,,,1900-01-01 13:06:58
599,,,,1900-01-01 13:06:59
600,,,,1900-01-01 13:07:00
601,,,,1900-01-01 13:07:01
602,,,,1900-01-01 13:07:02
603,,,,1900-01-01 13:07:03
604,,,,1900-01-01 13:07:04
605,,,,1900-01-01 13:07:05
606,,,,1900-01-01 13:07:06
607,,,,1900-01-01 13:07:07
608,,,,1900-01-01 13:07:08
609,,,,1900-01-01 13:07:09
610,,,,1900-01-01 13:07:10
611,,,,1900-01-01 13:07:11
612,,,,1900-01-01 13:07:12
613,,,,1900-01-01 13:07:13
614,,,,1900-01-01 13:07:14
615,,,,1900-01-01 13:07:15
616,,,,1900-01-01 13:07:16
617,,,,1900-01-01 13:07:17
618,,,,1900-01-01 13:07:18
619,,,,1900-01-01 13:07:19
620,,,,1900-01-01 13:07:20
621,,,,1900-01-01 13:07:21
622,,,,1900-01-01 13:07:22
623,,,,1900-01-01 13:07:23
624,,,,1900-01-01 13:07:24
625,,,,1900-01-01 13:07:25
626,,,,1900-01-01 13:07:26
627,,,,1900-01-01 13:07:27
628,,,,1900-01-01 13:07:28
629,,,,1900-01-01 13:07:29
630,,,,1900-01-01 13:07:30
631,,,,1900-01-01 13:07:31
632,,,,1900-01-01 13:07:32
633,,,,1900-01-01 13:07:33
